# Input: tmp2.adj
# Nodes: 747    Edges: 30025
# Algoritm: Clauset-Newman-Moore
# Modularity: 0.521340
# Communities: 6
# NId	CommunityId
346	3
734	3
357	3
521	3
687	3
23	3
374	3
361	3
253	3
32	3
311	3
289	3
144	3
658	3
446	3
283	3
169	3
530	3
537	3
254	3
600	3
306	3
531	3
654	3
486	3
609	3
591	3
571	3
592	3
248	3
493	3
585	3
409	3
688	3
400	3
574	3
433	3
443	3
515	3
717	3
358	3
674	3
589	3
514	3
22	3
500	3
607	3
685	3
543	3
588	3
711	3
686	3
558	3
744	3
532	3
239	4
691	4
666	4
610	4
621	4
557	4
184	4
485	4
231	4
415	4
339	4
416	4
579	4
343	4
665	4
172	4
183	4
448	4
660	4
46	4
454	4
425	4
424	4
244	4
667	4
553	4
300	4
529	4
340	4
554	4
538	4
712	4
230	4
668	4
646	4
434	4
264	4
625	4
728	4
315	4
659	4
735	4
670	4
693	4
612	4
539	4
690	4
652	4
533	4
245	4
694	4
675	4
389	4
338	4
629	4
211	4
713	4
677	4
641	4
382	4
703	4
212	4
678	4
679	4
707	4
356	4
295	4
355	4
710	4
301	4
381	4
676	4
45	4
606	4
344	4
638	4
202	4
420	4
680	4
203	4
536	4
596	4
528	4
595	4
599	4
697	4
313	4
474	4
701	4
546	4
265	4
689	4
551	4
597	4
692	4
519	4
682	4
704	4
716	4
220	4
630	4
723	4
587	4
613	4
699	4
684	4
726	4
719	4
702	4
644	4
598	4
722	4
729	4
636	4
552	4
221	4
695	4
732	4
727	4
624	4
635	4
706	4
696	4
731	4
725	4
721	5
739	5
733	5
