747 60050
353 1 0.0027248
26 1 0.0027248
54 1 0.0027248
436 1 0.0027248
157 1 0.0027248
158 1 0.0027248
394 1 0.0027248
505 1 0.0027248
165 1 0.0027248
336 1 0.0027248
349 1 0.0027248
154 1 0.0027248
180 1 0.0027248
167 1 0.0027248
182 1 0.0027248
60 1 0.0027248
242 1 0.0027248
48 1 0.0027248
244 1 0.0027248
259 1 0.0027248
305 1 0.0027248
272 1 0.0027248
308 1 0.0027248
149 1 0.0027248
305 1 0.0027248
441 1 0.0027248
71 1 0.0027248
299 1 0.0027248
83 1 0.0027248
123 1 0.0027248
300 1 0.0027248
52 1 0.0027248
103 1 0.0027248
31 1 0.0027248
242 1 0.0027248
518 1 0.0027248
291 1 0.0027248
12 1 0.0027248
148 1 0.0027248
94 1 0.0027248
37 1 0.0027248
505 1 0.0027248
418 1 0.0027248
5 1 0.0027248
352 1 0.0027248
145 1 0.0027248
433 1 0.0027248
60 1 0.0027248
135 1 0.0027248
115 1 0.0027248
195 1 0.0027248
138 1 0.0027248
308 1 0.0027248
183 1 0.0027248
84 1 0.0027248
163 1 0.0027248
387 1 0.0027248
168 1 0.0027248
175 1 0.0027248
53 1 0.0027248
182 1 0.0027248
175 1 0.0027248
250 1 0.0027248
124 1 0.0027248
336 1 0.0027248
7 1 0.0027248
267 1 0.0027248
132 1 0.0027248
15 1 0.0027248
216 1 0.0027248
291 1 0.0027248
79 1 0.0027248
82 1 0.0027248
170 1 0.0027248
99 1 0.0027248
342 1 0.0027248
85 1 0.0027248
153 1 0.0027248
67 1 0.0027248
93 1 0.0027248
57 1 0.0027248
44 1 0.0027248
243 1 0.0027248
259 1 0.0027248
353 1 0.0027248
100 1 0.0027248
12 1 0.0027248
132 1 0.0027248
476 1 0.0027248
371 1 0.0027248
188 1 0.0027248
154 1 0.0027248
277 1 0.0027248
169 1 0.0027248
241 1 0.0027248
8 1 0.0027248
478 1 0.0027248
50 1 0.0027248
447 1 0.0027248
48 1 0.0027248
276 1 0.0027248
429 1 0.0027248
149 1 0.0027248
56 1 0.0027248
121 1 0.0027248
129 1 0.0027248
89 1 0.0027248
55 1 0.0027248
140 1 0.0027248
70 1 0.0027248
37 1 0.0027248
165 1 0.0027248
227 1 0.0027248
112 1 0.0027248
396 1 0.0027248
294 1 0.0027248
452 1 0.0027248
139 1 0.0027248
157 1 0.0027248
183 1 0.0027248
138 1 0.0027248
148 1 0.0027248
174 1 0.0027248
140 1 0.0027248
362 1 0.0027248
262 1 0.0027248
161 1 0.0027248
122 1 0.0027248
92 1 0.0027248
113 1 0.0027248
261 1 0.0027248
16 1 0.0027248
318 1 0.0027248
378 1 0.0027248
386 1 0.0027248
541 1 0.0027248
194 1 0.0027248
2 1 0.0027248
133 1 0.0027248
304 1 0.0027248
476 1 0.0027248
280 1 0.0027248
82 1 0.0027248
418 1 0.0027248
398 1 0.0027248
349 1 0.0027248
378 1 0.0027248
81 1 0.0027248
139 1 0.0027248
543 1 0.0027248
110 1 0.0027248
227 1 0.0027248
31 1 0.0027248
168 1 0.0027248
89 1 0.0027248
267 1 0.0027248
134 1 0.0027248
67 1 0.0027248
352 1 0.0027248
354 1 0.0027248
393 1 0.0027248
371 1 0.0027248
438 1 0.0027248
504 1 0.0027248
95 1 0.0027248
98 1 0.0027248
159 1 0.0027248
162 1 0.0027248
169 1 0.0027248
300 1 0.0027248
167 1 0.0027248
249 1 0.0027248
458 1 0.0027248
121 1 0.0027248
76 1 0.0027248
220 1 0.0027248
504 1 0.0027248
13 1 0.0027248
272 1 0.0027248
290 1 0.0027248
313 1 0.0027248
84 1 0.0027248
113 1 0.0027248
34 1 0.0027248
115 1 0.0027248
145 1 0.0027248
39 1 0.0027248
94 1 0.0027248
45 1 0.0027248
179 1 0.0027248
313 1 0.0027248
441 1 0.0027248
104 1 0.0027248
179 1 0.0027248
253 1 0.0027248
53 1 0.0027248
16 1 0.0027248
7 1 0.0027248
205 1 0.0027248
386 1 0.0027248
81 1 0.0027248
458 1 0.0027248
38 1 0.0027248
436 1 0.0027248
83 1 0.0027248
26 1 0.0027248
306 1 0.0027248
228 1 0.0027248
290 1 0.0027248
52 1 0.0027248
11 1 0.0027248
59 1 0.0027248
217 1 0.0027248
187 1 0.0027248
241 1 0.0027248
6 1 0.0027248
315 1 0.0027248
512 1 0.0027248
161 1 0.0027248
258 1 0.0027248
315 1 0.0027248
322 1 0.0027248
236 1 0.0027248
299 1 0.0027248
174 1 0.0027248
375 1 0.0027248
217 1 0.0027248
159 1 0.0027248
218 1 0.0027248
6 1 0.0027248
541 1 0.0027248
13 1 0.0027248
243 1 0.0027248
234 1 0.0027248
508 1 0.0027248
279 1 0.0027248
1 2 0.003003
253 2 0.003003
418 2 0.003003
133 2 0.003003
89 2 0.003003
504 2 0.003003
99 2 0.003003
129 2 0.003003
143 2 0.003003
234 2 0.003003
541 2 0.003003
278 2 0.003003
258 2 0.003003
262 2 0.003003
353 2 0.003003
57 2 0.003003
393 2 0.003003
153 2 0.003003
586 2 0.003003
37 2 0.003003
395 2 0.003003
513 2 0.003003
396 2 0.003003
279 2 0.003003
440 2 0.003003
217 2 0.003003
418 2 0.003003
303 2 0.003003
13 2 0.003003
294 2 0.003003
12 2 0.003003
452 2 0.003003
305 2 0.003003
305 2 0.003003
124 2 0.003003
466 2 0.003003
122 2 0.003003
113 2 0.003003
290 2 0.003003
318 2 0.003003
52 2 0.003003
138 2 0.003003
267 2 0.003003
153 2 0.003003
95 2 0.003003
504 2 0.003003
164 2 0.003003
243 2 0.003003
433 2 0.003003
180 2 0.003003
290 2 0.003003
154 2 0.003003
518 2 0.003003
272 2 0.003003
100 2 0.003003
353 2 0.003003
543 2 0.003003
227 2 0.003003
123 2 0.003003
227 2 0.003003
31 2 0.003003
38 2 0.003003
276 2 0.003003
388 2 0.003003
25 2 0.003003
129 2 0.003003
219 2 0.003003
478 2 0.003003
103 2 0.003003
342 2 0.003003
219 2 0.003003
25 2 0.003003
51 2 0.003003
378 2 0.003003
387 2 0.003003
133 2 0.003003
234 2 0.003003
118 2 0.003003
49 2 0.003003
236 2 0.003003
122 2 0.003003
194 2 0.003003
436 2 0.003003
371 2 0.003003
198 2 0.003003
220 2 0.003003
94 2 0.003003
541 2 0.003003
182 2 0.003003
243 2 0.003003
112 2 0.003003
144 2 0.003003
279 2 0.003003
218 2 0.003003
174 2 0.003003
347 2 0.003003
26 2 0.003003
155 2 0.003003
276 2 0.003003
38 2 0.003003
478 2 0.003003
112 2 0.003003
285 2 0.003003
55 2 0.003003
139 2 0.003003
393 2 0.003003
284 2 0.003003
291 2 0.003003
138 2 0.003003
48 2 0.003003
161 2 0.003003
16 2 0.003003
167 2 0.003003
236 2 0.003003
81 2 0.003003
5 2 0.003003
163 2 0.003003
388 2 0.003003
143 2 0.003003
284 2 0.003003
57 2 0.003003
441 2 0.003003
80 2 0.003003
7 2 0.003003
466 2 0.003003
20 2 0.003003
33 2 0.003003
6 2 0.003003
54 2 0.003003
180 2 0.003003
175 2 0.003003
242 2 0.003003
7 2 0.003003
395 2 0.003003
354 2 0.003003
304 2 0.003003
102 2 0.003003
505 2 0.003003
13 2 0.003003
362 2 0.003003
174 2 0.003003
155 2 0.003003
217 2 0.003003
457 2 0.003003
139 2 0.003003
58 2 0.003003
99 2 0.003003
438 2 0.003003
253 2 0.003003
39 2 0.003003
105 2 0.003003
103 2 0.003003
387 2 0.003003
123 2 0.003003
84 2 0.003003
441 2 0.003003
440 2 0.003003
362 2 0.003003
121 2 0.003003
104 2 0.003003
306 2 0.003003
54 2 0.003003
315 2 0.003003
19 2 0.003003
261 2 0.003003
244 2 0.003003
285 2 0.003003
71 2 0.003003
216 2 0.003003
101 2 0.003003
306 2 0.003003
322 2 0.003003
158 2 0.003003
244 2 0.003003
101 2 0.003003
51 2 0.003003
169 2 0.003003
113 2 0.003003
59 2 0.003003
349 2 0.003003
89 2 0.003003
124 2 0.003003
110 2 0.003003
194 2 0.003003
105 2 0.003003
67 2 0.003003
48 2 0.003003
205 2 0.003003
195 2 0.003003
53 2 0.003003
335 2 0.003003
165 2 0.003003
259 2 0.003003
322 2 0.003003
258 2 0.003003
44 2 0.003003
83 2 0.003003
300 2 0.003003
458 2 0.003003
396 2 0.003003
347 2 0.003003
162 2 0.003003
16 2 0.003003
586 2 0.003003
92 2 0.003003
371 2 0.003003
175 2 0.003003
44 2 0.003003
313 2 0.003003
82 2 0.003003
95 2 0.003003
93 2 0.003003
195 2 0.003003
436 2 0.003003
26 2 0.003003
335 2 0.003003
92 2 0.003003
67 2 0.003003
121 2 0.003003
85 2 0.003003
79 2 0.003003
45 2 0.003003
79 2 0.003003
163 2 0.003003
49 2 0.003003
53 2 0.003003
55 2 0.003003
104 2 0.003003
162 2 0.003003
313 2 0.003003
132 2 0.003003
242 2 0.003003
336 2 0.003003
45 2 0.003003
158 2 0.003003
241 2 0.003003
135 2 0.003003
342 2 0.003003
318 2 0.003003
132 2 0.003003
115 2 0.003003
165 2 0.003003
80 2 0.003003
261 2 0.003003
114 2 0.003003
303 2 0.003003
20 2 0.003003
354 2 0.003003
182 2 0.003003
280 2 0.003003
59 2 0.003003
135 2 0.003003
12 2 0.003003
250 2 0.003003
50 2 0.003003
39 2 0.003003
50 2 0.003003
167 2 0.003003
83 2 0.003003
1 2 0.003003
543 2 0.003003
94 2 0.003003
438 2 0.003003
278 2 0.003003
349 2 0.003003
37 2 0.003003
115 2 0.003003
220 2 0.003003
102 2 0.003003
241 2 0.003003
33 2 0.003003
267 2 0.003003
52 2 0.003003
56 2 0.003003
34 2 0.003003
291 2 0.003003
304 2 0.003003
272 2 0.003003
84 2 0.003003
118 2 0.003003
169 2 0.003003
34 2 0.003003
262 2 0.003003
394 2 0.003003
19 2 0.003003
154 2 0.003003
82 2 0.003003
198 2 0.003003
394 2 0.003003
433 2 0.003003
205 2 0.003003
259 2 0.003003
110 2 0.003003
508 2 0.003003
58 2 0.003003
378 2 0.003003
218 2 0.003003
93 2 0.003003
294 2 0.003003
336 2 0.003003
188 2 0.003003
168 2 0.003003
452 2 0.003003
250 2 0.003003
315 2 0.003003
81 2 0.003003
31 2 0.003003
457 2 0.003003
513 2 0.003003
60 2 0.003003
508 2 0.003003
458 2 0.003003
518 2 0.003003
71 2 0.003003
144 2 0.003003
188 2 0.003003
183 2 0.003003
5 2 0.003003
164 2 0.003003
300 2 0.003003
216 2 0.003003
100 2 0.003003
60 2 0.003003
505 2 0.003003
85 2 0.003003
168 2 0.003003
183 2 0.003003
114 2 0.003003
161 2 0.003003
280 2 0.003003
56 2 0.003003
6 2 0.003003
4 3 0.0140845
338 3 0.0140845
488 3 0.0140845
338 3 0.0140845
595 3 0.0140845
178 3 0.0140845
43 3 0.0140845
576 3 0.0140845
595 3 0.0140845
240 3 0.0140845
563 3 0.0140845
617 3 0.0140845
446 3 0.0140845
481 3 0.0140845
488 3 0.0140845
337 3 0.0140845
563 3 0.0140845
448 3 0.0140845
582 3 0.0140845
582 3 0.0140845
446 3 0.0140845
298 3 0.0140845
414 3 0.0140845
468 3 0.0140845
453 3 0.0140845
298 3 0.0140845
43 3 0.0140845
526 3 0.0140845
273 3 0.0140845
226 3 0.0140845
73 3 0.0140845
468 3 0.0140845
4 3 0.0140845
201 3 0.0140845
617 3 0.0140845
264 3 0.0140845
72 3 0.0140845
240 3 0.0140845
408 3 0.0140845
448 3 0.0140845
108 3 0.0140845
473 3 0.0140845
42 3 0.0140845
454 3 0.0140845
273 3 0.0140845
644 3 0.0140845
42 3 0.0140845
264 3 0.0140845
473 3 0.0140845
237 3 0.0140845
526 3 0.0140845
226 3 0.0140845
453 3 0.0140845
202 3 0.0140845
237 3 0.0140845
337 3 0.0140845
454 3 0.0140845
202 3 0.0140845
178 3 0.0140845
201 3 0.0140845
72 3 0.0140845
584 3 0.0140845
644 3 0.0140845
73 3 0.0140845
414 3 0.0140845
584 3 0.0140845
408 3 0.0140845
108 3 0.0140845
481 3 0.0140845
576 3 0.0140845
3 4 0.0169492
264 4 0.0169492
563 4 0.0169492
42 4 0.0169492
408 4 0.0169492
270 4 0.0169492
612 4 0.0169492
488 4 0.0169492
325 4 0.0169492
644 4 0.0169492
109 4 0.0169492
240 4 0.0169492
178 4 0.0169492
274 4 0.0169492
453 4 0.0169492
270 4 0.0169492
407 4 0.0169492
271 4 0.0169492
109 4 0.0169492
582 4 0.0169492
612 4 0.0169492
468 4 0.0169492
240 4 0.0169492
472 4 0.0169492
448 4 0.0169492
582 4 0.0169492
473 4 0.0169492
264 4 0.0169492
407 4 0.0169492
3 4 0.0169492
42 4 0.0169492
461 4 0.0169492
453 4 0.0169492
454 4 0.0169492
178 4 0.0169492
461 4 0.0169492
488 4 0.0169492
108 4 0.0169492
472 4 0.0169492
408 4 0.0169492
414 4 0.0169492
644 4 0.0169492
325 4 0.0169492
72 4 0.0169492
337 4 0.0169492
479 4 0.0169492
72 4 0.0169492
448 4 0.0169492
414 4 0.0169492
473 4 0.0169492
454 4 0.0169492
271 4 0.0169492
563 4 0.0169492
108 4 0.0169492
274 4 0.0169492
337 4 0.0169492
468 4 0.0169492
479 4 0.0169492
6 5 0.00293255
105 5 0.00293255
175 5 0.00293255
180 5 0.00293255
205 5 0.00293255
307 5 0.00293255
543 5 0.00293255
378 5 0.00293255
410 5 0.00293255
294 5 0.00293255
99 5 0.00293255
228 5 0.00293255
175 5 0.00293255
113 5 0.00293255
79 5 0.00293255
261 5 0.00293255
218 5 0.00293255
25 5 0.00293255
153 5 0.00293255
59 5 0.00293255
518 5 0.00293255
305 5 0.00293255
31 5 0.00293255
76 5 0.00293255
7 5 0.00293255
242 5 0.00293255
440 5 0.00293255
135 5 0.00293255
152 5 0.00293255
132 5 0.00293255
236 5 0.00293255
299 5 0.00293255
476 5 0.00293255
52 5 0.00293255
342 5 0.00293255
60 5 0.00293255
322 5 0.00293255
138 5 0.00293255
99 5 0.00293255
118 5 0.00293255
458 5 0.00293255
179 5 0.00293255
447 5 0.00293255
121 5 0.00293255
236 5 0.00293255
80 5 0.00293255
216 5 0.00293255
123 5 0.00293255
504 5 0.00293255
205 5 0.00293255
219 5 0.00293255
59 5 0.00293255
388 5 0.00293255
227 5 0.00293255
167 5 0.00293255
139 5 0.00293255
438 5 0.00293255
258 5 0.00293255
179 5 0.00293255
371 5 0.00293255
429 5 0.00293255
543 5 0.00293255
84 5 0.00293255
159 5 0.00293255
112 5 0.00293255
154 5 0.00293255
12 5 0.00293255
220 5 0.00293255
164 5 0.00293255
452 5 0.00293255
187 5 0.00293255
279 5 0.00293255
433 5 0.00293255
49 5 0.00293255
114 5 0.00293255
429 5 0.00293255
1 5 0.00293255
354 5 0.00293255
161 5 0.00293255
279 5 0.00293255
8 5 0.00293255
378 5 0.00293255
56 5 0.00293255
93 5 0.00293255
13 5 0.00293255
300 5 0.00293255
394 5 0.00293255
133 5 0.00293255
322 5 0.00293255
48 5 0.00293255
518 5 0.00293255
104 5 0.00293255
148 5 0.00293255
34 5 0.00293255
318 5 0.00293255
457 5 0.00293255
218 5 0.00293255
2 5 0.00293255
253 5 0.00293255
49 5 0.00293255
174 5 0.00293255
6 5 0.00293255
52 5 0.00293255
165 5 0.00293255
152 5 0.00293255
82 5 0.00293255
19 5 0.00293255
290 5 0.00293255
276 5 0.00293255
157 5 0.00293255
53 5 0.00293255
194 5 0.00293255
187 5 0.00293255
57 5 0.00293255
11 5 0.00293255
167 5 0.00293255
71 5 0.00293255
242 5 0.00293255
101 5 0.00293255
565 5 0.00293255
188 5 0.00293255
168 5 0.00293255
56 5 0.00293255
54 5 0.00293255
278 5 0.00293255
280 5 0.00293255
188 5 0.00293255
165 5 0.00293255
82 5 0.00293255
394 5 0.00293255
384 5 0.00293255
219 5 0.00293255
259 5 0.00293255
300 5 0.00293255
478 5 0.00293255
457 5 0.00293255
44 5 0.00293255
241 5 0.00293255
396 5 0.00293255
398 5 0.00293255
44 5 0.00293255
234 5 0.00293255
433 5 0.00293255
161 5 0.00293255
85 5 0.00293255
251 5 0.00293255
396 5 0.00293255
38 5 0.00293255
11 5 0.00293255
436 5 0.00293255
102 5 0.00293255
386 5 0.00293255
60 5 0.00293255
1 5 0.00293255
112 5 0.00293255
149 5 0.00293255
315 5 0.00293255
349 5 0.00293255
16 5 0.00293255
101 5 0.00293255
57 5 0.00293255
308 5 0.00293255
410 5 0.00293255
420 5 0.00293255
39 5 0.00293255
133 5 0.00293255
132 5 0.00293255
102 5 0.00293255
395 5 0.00293255
505 5 0.00293255
227 5 0.00293255
100 5 0.00293255
478 5 0.00293255
512 5 0.00293255
67 5 0.00293255
143 5 0.00293255
362 5 0.00293255
7 5 0.00293255
315 5 0.00293255
261 5 0.00293255
258 5 0.00293255
195 5 0.00293255
458 5 0.00293255
384 5 0.00293255
354 5 0.00293255
304 5 0.00293255
157 5 0.00293255
335 5 0.00293255
103 5 0.00293255
144 5 0.00293255
228 5 0.00293255
168 5 0.00293255
98 5 0.00293255
48 5 0.00293255
386 5 0.00293255
452 5 0.00293255
139 5 0.00293255
144 5 0.00293255
83 5 0.00293255
54 5 0.00293255
138 5 0.00293255
70 5 0.00293255
169 5 0.00293255
216 5 0.00293255
440 5 0.00293255
92 5 0.00293255
512 5 0.00293255
299 5 0.00293255
418 5 0.00293255
55 5 0.00293255
164 5 0.00293255
80 5 0.00293255
267 5 0.00293255
267 5 0.00293255
163 5 0.00293255
313 5 0.00293255
92 5 0.00293255
352 5 0.00293255
280 5 0.00293255
100 5 0.00293255
198 5 0.00293255
272 5 0.00293255
37 5 0.00293255
94 5 0.00293255
291 5 0.00293255
94 5 0.00293255
182 5 0.00293255
13 5 0.00293255
12 5 0.00293255
303 5 0.00293255
50 5 0.00293255
182 5 0.00293255
114 5 0.00293255
362 5 0.00293255
103 5 0.00293255
71 5 0.00293255
565 5 0.00293255
34 5 0.00293255
303 5 0.00293255
55 5 0.00293255
180 5 0.00293255
393 5 0.00293255
154 5 0.00293255
395 5 0.00293255
278 5 0.00293255
276 5 0.00293255
143 5 0.00293255
159 5 0.00293255
335 5 0.00293255
163 5 0.00293255
76 5 0.00293255
37 5 0.00293255
217 5 0.00293255
16 5 0.00293255
241 5 0.00293255
26 5 0.00293255
105 5 0.00293255
441 5 0.00293255
251 5 0.00293255
198 5 0.00293255
262 5 0.00293255
285 5 0.00293255
438 5 0.00293255
398 5 0.00293255
148 5 0.00293255
313 5 0.00293255
253 5 0.00293255
285 5 0.00293255
418 5 0.00293255
158 5 0.00293255
83 5 0.00293255
304 5 0.00293255
67 5 0.00293255
476 5 0.00293255
195 5 0.00293255
169 5 0.00293255
113 5 0.00293255
174 5 0.00293255
98 5 0.00293255
306 5 0.00293255
153 5 0.00293255
14 5 0.00293255
447 5 0.00293255
14 5 0.00293255
508 5 0.00293255
441 5 0.00293255
305 5 0.00293255
294 5 0.00293255
104 5 0.00293255
307 5 0.00293255
123 5 0.00293255
259 5 0.00293255
70 5 0.00293255
50 5 0.00293255
505 5 0.00293255
290 5 0.00293255
129 5 0.00293255
194 5 0.00293255
217 5 0.00293255
371 5 0.00293255
234 5 0.00293255
306 5 0.00293255
85 5 0.00293255
504 5 0.00293255
393 5 0.00293255
39 5 0.00293255
118 5 0.00293255
272 5 0.00293255
2 5 0.00293255
262 5 0.00293255
121 5 0.00293255
8 5 0.00293255
250 5 0.00293255
349 5 0.00293255
342 5 0.00293255
93 5 0.00293255
243 5 0.00293255
25 5 0.00293255
250 5 0.00293255
291 5 0.00293255
31 5 0.00293255
508 5 0.00293255
149 5 0.00293255
158 5 0.00293255
135 5 0.00293255
318 5 0.00293255
53 5 0.00293255
420 5 0.00293255
26 5 0.00293255
84 5 0.00293255
243 5 0.00293255
38 5 0.00293255
220 5 0.00293255
436 5 0.00293255
388 5 0.00293255
79 5 0.00293255
308 5 0.00293255
19 5 0.00293255
352 5 0.00293255
129 5 0.00293255
5 6 0.00262467
244 6 0.00262467
129 6 0.00262467
290 6 0.00262467
81 6 0.00262467
118 6 0.00262467
227 6 0.00262467
38 6 0.00262467
12 6 0.00262467
132 6 0.00262467
92 6 0.00262467
57 6 0.00262467
33 6 0.00262467
394 6 0.00262467
236 6 0.00262467
153 6 0.00262467
162 6 0.00262467
280 6 0.00262467
261 6 0.00262467
39 6 0.00262467
165 6 0.00262467
50 6 0.00262467
79 6 0.00262467
278 6 0.00262467
386 6 0.00262467
188 6 0.00262467
145 6 0.00262467
244 6 0.00262467
278 6 0.00262467
188 6 0.00262467
183 6 0.00262467
429 6 0.00262467
80 6 0.00262467
82 6 0.00262467
303 6 0.00262467
458 6 0.00262467
280 6 0.00262467
305 6 0.00262467
164 6 0.00262467
118 6 0.00262467
158 6 0.00262467
59 6 0.00262467
236 6 0.00262467
354 6 0.00262467
139 6 0.00262467
505 6 0.00262467
310 6 0.00262467
513 6 0.00262467
174 6 0.00262467
115 6 0.00262467
79 6 0.00262467
76 6 0.00262467
112 6 0.00262467
420 6 0.00262467
124 6 0.00262467
306 6 0.00262467
228 6 0.00262467
387 6 0.00262467
252 6 0.00262467
310 6 0.00262467
44 6 0.00262467
353 6 0.00262467
441 6 0.00262467
103 6 0.00262467
84 6 0.00262467
183 6 0.00262467
175 6 0.00262467
13 6 0.00262467
216 6 0.00262467
252 6 0.00262467
98 6 0.00262467
110 6 0.00262467
167 6 0.00262467
353 6 0.00262467
169 6 0.00262467
241 6 0.00262467
52 6 0.00262467
162 6 0.00262467
565 6 0.00262467
51 6 0.00262467
440 6 0.00262467
342 6 0.00262467
307 6 0.00262467
14 6 0.00262467
194 6 0.00262467
92 6 0.00262467
371 6 0.00262467
386 6 0.00262467
418 6 0.00262467
114 6 0.00262467
37 6 0.00262467
410 6 0.00262467
195 6 0.00262467
512 6 0.00262467
13 6 0.00262467
179 6 0.00262467
276 6 0.00262467
37 6 0.00262467
262 6 0.00262467
559 6 0.00262467
115 6 0.00262467
31 6 0.00262467
182 6 0.00262467
7 6 0.00262467
272 6 0.00262467
165 6 0.00262467
53 6 0.00262467
313 6 0.00262467
518 6 0.00262467
174 6 0.00262467
234 6 0.00262467
16 6 0.00262467
508 6 0.00262467
312 6 0.00262467
352 6 0.00262467
5 6 0.00262467
155 6 0.00262467
267 6 0.00262467
487 6 0.00262467
152 6 0.00262467
33 6 0.00262467
258 6 0.00262467
395 6 0.00262467
158 6 0.00262467
466 6 0.00262467
284 6 0.00262467
12 6 0.00262467
32 6 0.00262467
53 6 0.00262467
168 6 0.00262467
457 6 0.00262467
2 6 0.00262467
313 6 0.00262467
284 6 0.00262467
34 6 0.00262467
205 6 0.00262467
26 6 0.00262467
154 6 0.00262467
436 6 0.00262467
315 6 0.00262467
335 6 0.00262467
56 6 0.00262467
93 6 0.00262467
25 6 0.00262467
138 6 0.00262467
59 6 0.00262467
440 6 0.00262467
362 6 0.00262467
11 6 0.00262467
144 6 0.00262467
187 6 0.00262467
105 6 0.00262467
81 6 0.00262467
487 6 0.00262467
85 6 0.00262467
349 6 0.00262467
169 6 0.00262467
124 6 0.00262467
251 6 0.00262467
20 6 0.00262467
205 6 0.00262467
154 6 0.00262467
277 6 0.00262467
259 6 0.00262467
44 6 0.00262467
347 6 0.00262467
67 6 0.00262467
336 6 0.00262467
123 6 0.00262467
478 6 0.00262467
241 6 0.00262467
179 6 0.00262467
262 6 0.00262467
161 6 0.00262467
67 6 0.00262467
112 6 0.00262467
54 6 0.00262467
410 6 0.00262467
251 6 0.00262467
55 6 0.00262467
94 6 0.00262467
168 6 0.00262467
306 6 0.00262467
85 6 0.00262467
129 6 0.00262467
565 6 0.00262467
227 6 0.00262467
57 6 0.00262467
83 6 0.00262467
347 6 0.00262467
354 6 0.00262467
438 6 0.00262467
153 6 0.00262467
243 6 0.00262467
103 6 0.00262467
478 6 0.00262467
84 6 0.00262467
559 6 0.00262467
466 6 0.00262467
513 6 0.00262467
342 6 0.00262467
272 6 0.00262467
276 6 0.00262467
505 6 0.00262467
99 6 0.00262467
248 6 0.00262467
388 6 0.00262467
228 6 0.00262467
25 6 0.00262467
51 6 0.00262467
217 6 0.00262467
100 6 0.00262467
14 6 0.00262467
110 6 0.00262467
182 6 0.00262467
175 6 0.00262467
164 6 0.00262467
220 6 0.00262467
294 6 0.00262467
52 6 0.00262467
315 6 0.00262467
155 6 0.00262467
418 6 0.00262467
71 6 0.00262467
452 6 0.00262467
433 6 0.00262467
285 6 0.00262467
114 6 0.00262467
253 6 0.00262467
99 6 0.00262467
94 6 0.00262467
55 6 0.00262467
285 6 0.00262467
56 6 0.00262467
15 6 0.00262467
195 6 0.00262467
247 6 0.00262467
394 6 0.00262467
139 6 0.00262467
512 6 0.00262467
104 6 0.00262467
83 6 0.00262467
143 6 0.00262467
371 6 0.00262467
419 6 0.00262467
508 6 0.00262467
104 6 0.00262467
45 6 0.00262467
48 6 0.00262467
300 6 0.00262467
494 6 0.00262467
145 6 0.00262467
32 6 0.00262467
393 6 0.00262467
290 6 0.00262467
31 6 0.00262467
352 6 0.00262467
378 6 0.00262467
95 6 0.00262467
133 6 0.00262467
279 6 0.00262467
267 6 0.00262467
322 6 0.00262467
349 6 0.00262467
48 6 0.00262467
261 6 0.00262467
